"job_title,company,location,salary_min,salary_max,contract_type,category,job_url,created,scraped_at"
"Data Analyst,Fuzen IT Solutions,""Hyderabad, Telangana"",0,0,permanent,IT Jobs,https://www.adzuna.in/land/ad/5528004436?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=F4F0A04202DF2402479B4BEE575080B95B5FBCC7,2025-12-05T01:15:54Z,2025-12-31 14:00:23.324691"
"Data Engineer,Hexagon R&D India,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5536066701?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=4FC3D221DC98361CB1B2B8A6A18077F73A2DA3F6,2025-12-10T16:54:27Z,2025-12-31 14:00:23.324691"
"Data Governance,LTIMindtree,""Ghaziabad, Uttar Pradesh"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5548132193?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=17309C12542DF08CCDA2BD768A7A38B8AA8B9CE3,2025-12-19T08:56:24Z,2025-12-31 14:00:23.324691"
"Data Architect,Tech Mahindra,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5523454231?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=38ABAEF150568EFF1D417B312FA39DB1981287E6,2025-12-02T08:54:00Z,2025-12-31 14:00:23.324691"
"Data Architect,Acuity Analytics,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5546574413?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=23C116D8168C862C4C34E8C97A4C24173FF930D4,2025-12-18T08:41:12Z,2025-12-31 14:00:23.324691"
"Data Engineer,Inspire Brands Hyderabad Support Center,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5511937710?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=F56E53AC6D14226826166F37784D754B23DB699F,2025-11-25T05:50:12Z,2025-12-31 14:00:23.324691"
"Data Engineer,DigiKey Global Capability Center,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5549497801?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=E2CAFC81B3B95BB767E7FFEC53D7E2BF52A26848,2025-12-20T09:01:56Z,2025-12-31 14:00:23.324691"
"Data Engineer,""Prudent Technologies and Consulting, Inc."",""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5432787389?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=CFD6B79F527C15C6EBC54194D14861505E984D22,2025-10-05T17:31:48Z,2025-12-31 14:00:23.324691"
"Data Analyst,EaseMyTrip.com,India,0,0,,IT Jobs,https://www.adzuna.in/land/ad/5560708662?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=F2340DE4D69E27C46A5B5FA82EF1FF80D467AC91,2025-12-31T10:31:34Z,2025-12-31 14:00:23.324691"
"Data Engineer,Meril,""Valsad, Gujarat"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5553865045?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=2F2502FD2E10388D39114D011121FAA426B839CB,2025-12-24T10:14:09Z,2025-12-31 14:00:23.324691"
"Data Scientist,AllHeart Web,""Chandigarh, India"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5539003066?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=92444F868F3D313E066A176736D05E8D137065DA,2025-12-12T09:46:49Z,2025-12-31 14:00:23.324691"
"Data Engineer,Straive,""Mumbai, Maharashtra"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5560710979?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=47F8DD6ED68E5373524F0B850AB80B4D92C77918,2025-12-31T10:34:09Z,2025-12-31 14:00:23.324691"
"Data Analyst,MS CLINICAL RESEARCH,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5537383953?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=3914EAD9CF4CA68ED57D766AC9D2B843F3C4BE86,2025-12-11T09:26:57Z,2025-12-31 14:00:23.324691"
